Panel_i,Panel_j,CP_X,CP_Y,CP_Z,r/R,Twist_deg,Cl_alpha0,Cd_alpha0,Cm_alpha0,Cl_alpha5,Cd_alpha5,Cm_alpha5
0,0,0.4933885222097627,0.5107692307692308,-0.00027719244171500344,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
1,0,0.496647207806573,0.5107692307692308,0.0007767908573843795,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
2,0,0.49990668986981135,0.5107692307692308,0.001828427244495118,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
3,0,0.5031661719330497,0.5107692307692308,0.0028800636316058566,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
4,0,0.506425653996288,0.5107692307692308,0.003931700018716595,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
5,0,0.5096851360595264,0.5107692307692308,0.004983336405827333,0.08974358974358974,18.363213351259233,-0.02271931378015903,0.07678326309305626,-0.0038442600255114245,0.17330887865925,0.09980849100132118,0.013108866678905422
0,1,0.4922064159816277,0.5195076923076923,0.0014547550494595505,0.16256410256410256,19.781883642453312,-0.00039696147006675585,0.04943619159110142,-0.007886989769745471,0.5749197314122889,0.06329772211465687,-0.04569548298178787
1,1,0.4965308767540772,0.5195076923076923,0.00300372215966411,0.16256410256410256,19.781883642453312,-0.00039696147006675585,0.04943619159110142,-0.007886989769745471,0.5749197314122889,0.06329772211465687,-0.04569548298178787
2,1,0.5008589142340863,0.5195076923076923,0.004542692535325598,0.16256410256410256,19.781883642453312,-0.00039696147006675585,0.04943619159110142,-0.007886989769745471,0.5749197314122889,0.06329772211465687,-0.04569548298178787
3,1,0.5051869517140954,0.5195076923076923,0.006081662910987086,0.16256410256410256,19.781883642453312,-0.00039696147006675585,0.04943619159110142,-0.007886989769745471,0.5749197314122889,0.06329772211465687,-0.04569548298178787
